epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,600.603,0.69038,1.47361,0.45371,0.53912,0.35661,0.31136,0.24933,0.54959,0.77991,0.42589,0.000237669,0.000237669,0.000237669
2,1177.17,0.52213,0.82739,0.31741,0.49791,0.40831,0.34389,0.27782,0.51243,0.76459,0.39616,0.000467107,0.000467107,0.000467107
3,1746.67,0.49191,0.82247,0.29248,0.56535,0.42773,0.40095,0.32602,0.51485,0.72279,0.39711,0.000687977,0.000687977,0.000687977
4,2317.02,0.4847,0.81801,0.28794,0.56906,0.42325,0.39999,0.3264,0.508,0.72705,0.40482,0.000675444,0.000675444,0.000675444
5,2890.23,0.47549,0.79943,0.27552,0.62948,0.46163,0.40941,0.33506,0.48328,0.71446,0.3608,0.000662592,0.000662592,0.000662592
6,3457.21,0.46028,0.80746,0.27061,0.56513,0.48152,0.43202,0.34917,0.48779,0.68768,0.37436,0.00064974,0.00064974,0.00064974
7,4023.67,0.45258,0.79919,0.25711,0.57743,0.49714,0.44934,0.36469,0.50533,0.64468,0.40016,0.000636888,0.000636888,0.000636888
8,4592.03,0.43337,0.79597,0.2472,0.56431,0.51229,0.46256,0.37336,0.46766,0.67452,0.34896,0.000624036,0.000624036,0.000624036
9,5160.99,0.43812,0.78757,0.24452,0.5637,0.5216,0.4852,0.39489,0.47634,0.64694,0.37395,0.000611184,0.000611184,0.000611184
10,5731.74,0.42141,0.76667,0.23729,0.58759,0.54201,0.49889,0.4067,0.46974,0.63307,0.37129,0.000598332,0.000598332,0.000598332
11,6301.26,0.40901,0.76933,0.22395,0.60778,0.53539,0.51084,0.41779,0.44343,0.65632,0.32827,0.00058548,0.00058548,0.00058548
12,6870.91,0.41476,0.75944,0.22516,0.66739,0.54183,0.52365,0.42895,0.42487,0.66361,0.29934,0.000572628,0.000572628,0.000572628
13,7437.33,0.40759,0.74887,0.22325,0.62178,0.53488,0.50547,0.41506,0.44615,0.63334,0.33806,0.000559776,0.000559776,0.000559776
14,8001.89,0.40775,0.75791,0.22137,0.63258,0.533,0.51538,0.42059,0.45692,0.63129,0.34828,0.000546924,0.000546924,0.000546924
15,8566.98,0.39918,0.75384,0.22355,0.63014,0.52596,0.50556,0.41418,0.45125,0.70228,0.34908,0.000534072,0.000534072,0.000534072
16,9136.11,0.40159,0.74922,0.22213,0.63789,0.5512,0.55169,0.45838,0.4318,0.61324,0.32463,0.00052122,0.00052122,0.00052122
17,9705.11,0.38034,0.74955,0.20478,0.65699,0.55056,0.5384,0.441,0.41396,0.63481,0.30019,0.000508368,0.000508368,0.000508368
18,10276.3,0.38907,0.73976,0.21123,0.69586,0.56978,0.56813,0.46803,0.43615,0.60633,0.32945,0.000495516,0.000495516,0.000495516
19,10843.9,0.37947,0.7346,0.20108,0.70516,0.55706,0.57486,0.47689,0.42031,0.61158,0.31679,0.000482664,0.000482664,0.000482664
20,11410.7,0.37104,0.73971,0.20437,0.72621,0.5629,0.56785,0.47129,0.42692,0.59725,0.33799,0.000469812,0.000469812,0.000469812
21,11979.2,0.37082,0.73798,0.19815,0.70665,0.57626,0.5809,0.48375,0.40975,0.59913,0.30426,0.00045696,0.00045696,0.00045696
22,12547.4,0.37381,0.73014,0.19896,0.67665,0.57731,0.5787,0.47913,0.41398,0.59996,0.30818,0.000444108,0.000444108,0.000444108
23,13115,0.36228,0.71285,0.1939,0.74055,0.58096,0.58752,0.48596,0.39409,0.60248,0.2755,0.000431256,0.000431256,0.000431256
24,13682.9,0.35973,0.71311,0.18745,0.74031,0.60168,0.61047,0.50392,0.39546,0.59629,0.28507,0.000418404,0.000418404,0.000418404
25,14251.1,0.35595,0.70128,0.18637,0.70394,0.59341,0.60327,0.49697,0.38774,0.59189,0.2739,0.000405552,0.000405552,0.000405552
26,14820.5,0.35786,0.7046,0.19014,0.70955,0.59866,0.61162,0.50493,0.38837,0.585,0.27502,0.0003927,0.0003927,0.0003927
27,15390.2,0.34963,0.68786,0.18599,0.7325,0.59763,0.61745,0.5135,0.3832,0.58411,0.26958,0.000379848,0.000379848,0.000379848
28,15958.4,0.34641,0.7,0.17957,0.73093,0.61322,0.63375,0.52482,0.39101,0.56932,0.28846,0.000366996,0.000366996,0.000366996
29,16528.2,0.3454,0.70272,0.17885,0.73456,0.61353,0.63804,0.53245,0.38144,0.57646,0.27892,0.000354144,0.000354144,0.000354144
30,17097.7,0.34191,0.6796,0.17609,0.75478,0.61482,0.64809,0.53898,0.37281,0.56744,0.26394,0.000341292,0.000341292,0.000341292
31,17667.6,0.34548,0.689,0.17909,0.75568,0.62423,0.65387,0.54349,0.36694,0.56985,0.25941,0.00032844,0.00032844,0.00032844
32,18236,0.33404,0.66678,0.16917,0.74518,0.61964,0.63777,0.53038,0.36834,0.56157,0.26803,0.000315588,0.000315588,0.000315588
33,18804.9,0.3284,0.66421,0.16884,0.75806,0.63378,0.65393,0.54506,0.36615,0.55747,0.26044,0.000302736,0.000302736,0.000302736
34,19373.2,0.33071,0.66216,0.1712,0.75174,0.62546,0.65252,0.54097,0.35586,0.56497,0.24296,0.000289884,0.000289884,0.000289884
35,19943.8,0.3247,0.66685,0.16846,0.76134,0.64274,0.66559,0.55597,0.35141,0.56379,0.23682,0.000277032,0.000277032,0.000277032
36,20509.1,0.321,0.65568,0.16588,0.77067,0.63938,0.66474,0.55417,0.35502,0.55019,0.24403,0.00026418,0.00026418,0.00026418
37,21075.9,0.31306,0.65697,0.15892,0.76848,0.64438,0.66959,0.55962,0.35281,0.53956,0.23939,0.000251328,0.000251328,0.000251328
38,21646.1,0.31307,0.64726,0.15992,0.76787,0.64422,0.6632,0.55342,0.34717,0.54383,0.23565,0.000238476,0.000238476,0.000238476
39,22216.6,0.31182,0.64919,0.15865,0.77469,0.63126,0.66503,0.55485,0.34992,0.5489,0.24097,0.000225624,0.000225624,0.000225624
40,22784.3,0.31074,0.64196,0.15651,0.77006,0.64733,0.67662,0.56614,0.34446,0.54072,0.2355,0.000212772,0.000212772,0.000212772
41,23352.8,0.26492,0.55952,0.14937,0.78663,0.66654,0.69613,0.58232,0.31836,0.52251,0.20016,0.00019992,0.00019992,0.00019992
42,23917.9,0.25915,0.54371,0.14491,0.79138,0.66744,0.70071,0.58576,0.31292,0.52208,0.19223,0.000187068,0.000187068,0.000187068
43,24483.4,0.25901,0.54466,0.14235,0.79129,0.6723,0.70548,0.5886,0.31135,0.51585,0.19328,0.000174216,0.000174216,0.000174216
44,25048.1,0.25635,0.53787,0.14059,0.79383,0.68921,0.71687,0.59725,0.31556,0.50888,0.19996,0.000161364,0.000161364,0.000161364
45,25612.4,0.25008,0.53823,0.14161,0.79319,0.68459,0.71376,0.59326,0.31322,0.51249,0.19999,0.000148512,0.000148512,0.000148512
46,26173.1,0.25235,0.52714,0.13986,0.79423,0.68611,0.71717,0.5979,0.31101,0.50595,0.19685,0.00013566,0.00013566,0.00013566
47,26736.4,0.24553,0.51531,0.13577,0.79769,0.69287,0.72149,0.60041,0.31263,0.49998,0.20212,0.000122808,0.000122808,0.000122808
48,27299.9,0.241,0.50253,0.13205,0.79623,0.68825,0.7156,0.5973,0.30743,0.49845,0.19614,0.000109956,0.000109956,0.000109956
49,27862.8,0.24051,0.49778,0.13236,0.80272,0.68685,0.71988,0.5996,0.30525,0.49633,0.19119,9.7104e-05,9.7104e-05,9.7104e-05
50,28424.9,0.24141,0.48551,0.13204,0.80319,0.68297,0.7166,0.59865,0.30254,0.49315,0.18939,8.4252e-05,8.4252e-05,8.4252e-05
